"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"J25,J28";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";2;"Conn_01x05";;;
2;"J8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M03";;;
3;"D19,D21,D20,D22";"LED_Yuji_5730";4;"LED";;;
4;"J30,J29";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"Screw_Terminal_01x03";;;
5;"J5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M02";;;
6;"R6,R4,R5,R3";"R_1206_3216Metric";4;"330";;;
7;"J4";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"ENC01";;;
8;"J9";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"ENC03";;;
9;"J1";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"POWER SUPLY";;;
10;"J26,J27";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04";;;
11;"U1";"ESP32-S3-DevKitC";1;"ESP32-S3-DevKitC";;;
12;"J6";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"ENC02";;;
13;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M01";;;
